customer_id,tenure_months,recent_transactions,recent_spend,digital_engagement,months_since_last_purchase,annual_fee,customer_value,retention_offer,retained_next_period
C0449,4,3,123.97,0.6348,1.48,0,139.18,0,0
C0450,37,7,64.5,0.5801,3.04,50,116.6,1,0
C0451,3,6,35.79,0.5435,0.75,0,68.63,1,1
C0452,53,4,16.34,0.5892,0.51,0,53.07,1,1
C0453,43,9,291.02,0.8586,1.81,50,297.82,1,1
C0454,11,8,27.02,0.6111,1.1,0,61.62,0,0
C0455,6,7,245.5,0.1958,2.33,50,261.4,1,1
C0456,12,7,84.33,0.9139,2.21,0,107.46,1,1
C0457,59,6,244.92,0.216,2.35,95,283.44,0,1
C0458,28,6,26.2,0.1652,1.81,50,85.96,1,0
C0459,47,4,131.19,0.9971,0.5,50,169.95,0,1
C0460,39,9,266.32,0.2134,4.43,0,253.06,1,0
C0461,35,5,207.06,0.1001,0.16,95,253.15,1,0
C0462,10,1,123.02,0.562,5.69,0,138.42,1,0
C0463,57,7,5.44,0.8272,4.88,50,69.35,1,1
C0464,19,7,44.2,0.0608,4.43,0,75.36,1,0
C0465,35,3,261.13,0.4901,3.84,0,248.9,0,0
C0466,42,1,122.14,0.0685,6.24,50,162.71,1,0
C0467,39,4,144.25,0.4287,6.92,0,155.4,1,0
C0468,56,3,172.68,0.344,1.53,0,178.14,1,0
C0469,10,10,45.77,0.1371,10.83,0,76.62,1,0
C0470,31,5,182.58,0.931,1.74,0,186.06,0,0
C0471,25,2,116.43,0.6349,0.59,95,180.64,0,0
C0472,29,3,173.5,0.8431,7.55,50,203.8,1,0
C0473,8,6,103.76,0.9059,0.67,0,123.01,1,1
C0474,9,3,24.15,0.9302,0.3,50,84.32,1,0
C0475,17,3,115.81,0.7481,8.15,50,157.65,0,0
C0476,19,1,201.26,0.3069,0.16,50,226.01,0,0
C0477,26,7,181.52,0.8289,4.6,50,210.22,1,0
C0478,37,4,152.47,0.5202,14.04,0,161.98,0,0
C0479,38,6,221.85,0.2717,3.51,0,217.48,1,1
C0480,25,4,133.71,0.3858,3.79,50,171.97,1,1
C0481,25,9,154.5,0.3012,2.73,50,188.6,0,0
C0482,14,6,111.62,0.4662,1.49,50,154.3,0,0
C0483,36,13,226.53,0.7813,0.83,0,221.22,1,1
C0484,20,5,173.32,0.4849,12.91,95,226.16,1,0
C0485,3,8,105.44,0.2679,6.08,0,124.35,0,0
C0486,26,5,30.88,0.0874,2.57,50,89.7,1,1
C0487,29,6,238.4,0.8558,0.32,0,230.72,0,1
C0488,14,4,90.47,0.4174,0.13,50,137.38,0,0
C0489,35,6,155.77,0.4419,0.98,95,212.12,1,1
C0490,34,5,338.21,0.7637,0.7,0,310.57,0,1
C0491,42,8,214.12,0.8497,11.75,50,236.3,0,1
C0492,39,4,278.89,0.5111,4.09,50,288.11,0,0
C0493,39,5,106.95,0.6324,0.35,0,125.56,0,1
C0494,20,11,235.68,0.2392,7.32,0,228.54,1,0
C0495,47,8,152.13,0.9351,3.04,50,186.7,1,1
C0496,33,5,179.28,0.5679,1.56,0,183.42,0,1
C0497,26,7,311.67,0.7196,0.77,0,289.34,0,1
C0498,38,6,127.71,0.1142,5.37,95,189.67,1,0
C0499,22,7,151.54,0.6369,3.23,50,186.23,1,0
C0500,31,6,77.74,0.3689,0.57,50,127.19,0,0
C0501,44,5,221.08,0.4501,5.45,50,241.86,0,1
C0502,53,3,105.15,0.6822,11.66,50,149.12,1,1
C0503,55,6,231.82,0.7963,0.6,50,250.46,0,1
C0504,31,11,18.01,0.3494,1.82,0,54.41,1,1
C0505,32,6,193.89,0.8732,0.61,0,195.11,1,1
C0506,48,7,98.5,0.219,6.87,50,143.8,0,0
C0507,20,7,208.44,0.5629,0.56,95,254.25,0,0
C0508,50,3,148.92,0.1513,0.6,0,159.14,1,1
C0509,30,5,107.17,0.2892,6.98,95,173.24,0,0
C0510,8,4,119.08,0.8954,1.42,50,160.26,1,1
C0511,5,6,81.97,0.0116,7.9,0,105.58,0,0
C0512,51,0,217.02,0.9156,0.19,0,213.62,1,1
C0513,4,8,66.11,0.3284,4.04,0,92.89,1,0
C0514,18,7,128.63,0.6958,3.67,50,167.9,1,1
C0515,21,4,177.62,0.0917,0.83,0,182.1,0,0
C0516,11,6,279.08,0.6413,0.21,0,263.26,1,1
C0517,20,5,149.26,0.9095,0.03,0,159.41,1,0
C0518,45,4,130.6,0.5552,5.41,95,191.98,0,0
C0519,2,8,171.89,0.3621,7.67,0,177.51,1,0
C0520,50,8,15.88,0.7936,2.46,0,52.7,1,1
C0521,52,10,54.11,0.7127,1.3,0,83.29,0,1
C0522,23,4,119.97,0.1177,0.21,0,135.98,1,0
C0523,10,6,92.96,0.6657,2.02,0,114.37,0,0
C0524,36,5,21.93,0.6647,8.91,50,82.54,0,0
C0525,8,2,218.62,0.7519,5.9,50,239.9,0,0
C0526,23,9,170.78,0.3163,2.38,0,176.62,0,1
C0527,58,10,161.22,0.4013,0.31,95,216.48,0,1
C0528,60,4,94.48,0.96,2.77,0,115.58,0,1
C0529,47,7,156.35,0.5735,0.31,95,212.58,1,1
C0530,19,4,191.16,0.5085,6.44,0,192.93,1,1
C0531,42,8,128.81,0.9868,5.31,95,190.55,0,1
C0532,43,4,185.57,0.2296,5.24,95,235.96,1,0
C0533,24,6,86.32,0.3979,0.02,95,156.56,1,1
C0534,39,3,157.8,0.7599,0.64,0,166.24,1,1
C0535,2,4,241.4,0.7131,5.33,50,258.12,1,1
C0536,13,6,248.56,0.9667,2.28,95,286.35,0,1
C0537,32,6,256.21,0.6543,2.92,50,269.97,0,1
C0538,11,6,172.85,0.3131,1.19,0,178.28,0,0
C0539,11,5,152.53,0.3977,4.37,0,162.02,0,0
C0540,50,10,114.1,0.0897,2.47,0,131.28,0,1
C0541,59,6,5.4,0.9237,3.26,0,44.32,0,1
C0542,34,5,42.41,0.1287,1.61,0,73.93,1,1
C0543,51,7,136.56,0.5457,0.92,50,174.25,1,1
C0544,59,4,141.34,0.4014,0.05,0,153.07,1,1
C0545,9,9,262.98,0.1342,0.2,0,250.38,1,1
C0546,27,4,255.18,0.293,0.51,0,244.14,1,0
C0547,24,4,95.08,0.6336,0.13,95,163.56,1,1
C0548,6,9,215.47,0.0313,4.57,50,237.38,0,1
C0549,46,10,111.83,0.966,3.86,50,154.46,0,1
C0550,27,5,204.61,0.9091,1.01,50,228.69,0,1
C0551,29,5,214.48,0.0846,2.57,50,236.58,0,0
C0552,10,2,249.37,0.8684,2.33,0,239.5,1,1
C0553,12,11,110.59,0.3286,6.5,50,153.47,0,0
C0554,55,4,231.14,0.0675,0.36,0,224.91,0,1
C0555,4,11,0.17,0.3061,9.25,50,65.14,0,0
C0556,15,6,253.7,0.8089,0.05,0,242.96,1,1
C0557,18,11,148.0,0.6658,3.93,95,205.9,0,0
C0558,30,7,149.7,0.2386,0.31,50,184.76,0,1
C0559,36,6,12.99,0.7192,4.49,0,50.39,0,0
C0560,30,7,118.91,0.7078,0.68,50,160.13,0,1
C0561,6,6,258.44,0.7429,1.14,0,246.75,1,0
C0562,15,5,115.86,0.5407,7.1,0,132.69,0,0
C0563,51,7,207.08,0.8189,4.0,95,253.16,0,1
C0564,39,5,152.76,0.6414,3.0,50,187.21,1,1
C0565,39,4,235.01,0.1254,3.56,50,253.01,0,0
C0566,41,6,165.32,0.8103,1.94,0,172.26,1,1
C0567,46,3,75.46,0.3238,0.76,0,100.37,1,0
C0568,4,6,154.52,0.705,8.24,0,163.62,0,0
C0569,23,5,278.1,0.6751,6.93,50,287.48,0,0
C0570,33,6,189.81,0.3359,5.44,50,216.85,0,0
C0571,21,4,140.68,0.1617,1.85,0,152.54,0,1
C0572,51,4,330.46,0.695,3.43,0,304.37,0,0
C0573,29,6,242.74,0.849,0.37,0,234.19,1,1
C0574,46,8,215.34,0.8382,1.27,0,212.27,0,1
C0575,51,2,175.39,0.6265,0.91,0,180.31,0,1
C0576,31,7,208.42,0.2274,2.94,0,206.74,1,1
C0577,55,5,211.02,0.3162,0.17,0,208.82,0,1
C0578,36,6,24.63,0.7546,1.44,0,59.7,1,1
C0579,51,4,181.59,0.4109,1.07,0,185.27,0,0
C0580,21,4,137.14,0.7325,0.73,50,174.71,1,0
C0581,30,5,110.02,0.3094,3.16,95,175.52,1,0
C0582,32,6,134.37,0.0063,1.04,0,147.5,1,1
C0583,7,7,25.53,0.6035,5.33,0,60.42,1,1
C0584,25,7,5.63,0.6009,0.47,50,69.5,0,0
C0585,55,5,249.72,0.6276,0.15,0,239.78,0,1
C0586,38,10,186.97,0.2682,1.01,0,189.58,0,1
C0587,11,3,43.04,0.8111,0.32,0,74.43,0,1
C0588,21,7,103.89,0.4875,0.57,0,123.11,1,1
C0589,12,3,220.44,0.7624,7.83,95,263.85,0,0
C0590,2,10,127.6,0.6111,0.43,95,189.58,0,0
C0591,56,5,249.6,0.4161,0.26,0,239.68,1,1
C0592,27,7,233.98,0.6796,1.44,0,227.18,0,1
C0593,19,6,41.46,0.575,0.64,95,120.67,1,1
C0594,36,5,138.53,0.5107,7.45,50,175.82,0,1
C0595,1,3,114.15,0.6486,7.06,95,178.82,1,0
C0596,17,7,38.86,0.0859,7.07,50,96.09,0,0
C0597,42,4,33.66,0.9103,5.12,0,66.93,1,1
C0598,38,1,85.52,0.3351,1.13,0,108.42,1,1
C0599,59,6,98.73,0.2247,1.24,0,118.98,1,1
C0600,38,2,172.66,0.7718,3.01,95,225.63,1,0
C0601,29,5,233.54,0.2312,0.53,0,226.83,1,1
C0602,46,5,191.09,0.9958,1.12,50,217.87,0,0
C0603,54,4,210.03,0.4205,0.66,50,233.02,0,1
C0604,44,8,128.67,0.2966,2.6,95,190.44,1,1
C0605,58,6,198.24,0.0621,3.84,50,223.59,1,1
C0606,47,2,138.13,0.0418,1.05,0,150.5,1,1
C0607,52,4,114.68,0.0951,0.13,0,131.74,1,0
C0608,8,2,301.77,0.005,1.33,50,306.42,0,1
C0609,44,5,36.44,0.3271,1.41,95,116.65,0,1
C0610,27,5,0.14,0.3105,16.1,50,65.11,0,0
C0611,34,3,180.62,0.4301,1.48,50,209.5,1,1
C0612,40,10,128.8,0.2329,0.51,95,190.54,0,1
C0613,58,2,35.04,0.0627,0.86,0,68.03,0,0
C0614,59,3,65.63,0.0712,3.59,0,92.5,1,0
C0615,18,10,76.05,0.1821,2.95,95,148.34,0,0
C0616,44,7,221.39,0.3166,4.87,50,242.11,0,1
C0617,45,9,246.99,0.148,1.4,95,285.09,0,1
C0618,21,3,281.17,0.3651,5.08,0,264.94,1,0
C0619,8,8,22.88,0.9222,1.9,50,83.3,0,0
C0620,3,4,40.63,0.2616,6.03,0,72.5,1,0
C0621,47,5,35.15,0.1684,7.61,0,68.12,1,0
C0622,30,5,253.11,0.6648,13.29,0,242.49,1,0
C0623,59,4,183.38,0.4909,0.82,50,211.7,1,1
C0624,28,7,156.42,0.0473,0.26,0,165.14,0,1
C0625,59,6,168.37,0.7878,0.45,0,174.7,0,1
C0626,25,3,145.46,0.7153,15.55,0,156.37,0,0
C0627,48,7,60.31,0.9773,1.18,0,88.25,1,1
C0628,6,7,191.05,0.9383,0.31,50,217.84,0,1
C0629,34,3,135.11,0.5842,1.21,50,173.09,1,0
C0630,48,3,53.97,0.686,1.67,50,108.18,1,0
C0631,56,3,195.94,0.4095,18.93,0,196.75,1,0
C0632,50,1,115.94,0.8885,1.9,0,132.75,0,0
C0633,3,6,168.2,0.5528,1.75,0,174.56,1,1
C0634,23,7,140.0,0.3256,2.65,50,177.0,0,0
C0635,4,10,221.31,0.0095,0.67,95,264.55,1,0
C0636,7,5,167.61,0.5864,1.22,0,174.09,1,1
C0637,41,8,79.3,0.5254,8.46,95,150.94,0,1
C0638,43,7,175.76,0.8119,3.45,0,180.61,1,1
C0639,47,6,178.38,0.187,1.33,50,207.7,1,0
C0640,52,7,190.91,0.8154,4.18,50,217.73,1,1
C0641,45,14,232.87,0.0153,0.32,50,251.3,0,1
C0642,48,7,100.72,0.5873,5.05,50,145.58,0,0
C0643,4,5,203.43,0.3969,2.85,0,202.74,0,0
C0644,15,7,12.01,0.3315,7.85,50,74.61,1,0
C0645,38,8,140.4,0.4333,0.11,0,152.32,0,0
C0646,52,5,128.03,0.2236,1.82,50,167.42,1,1
C0647,1,6,265.83,0.1834,1.84,0,252.66,1,0
C0648,31,4,137.49,0.8051,12.65,0,149.99,0,0
C0649,41,6,198.64,0.2278,7.61,95,246.41,1,1
C0650,3,5,9.06,0.737,3.66,0,47.25,0,0
C0651,25,8,121.86,0.7114,1.87,0,137.49,0,1
C0652,54,2,82.29,0.0334,1.74,0,105.83,0,1
C0653,41,4,348.04,0.8811,3.04,50,343.43,1,1
C0654,15,11,96.66,0.7894,0.98,50,142.33,1,1
C0655,51,6,155.86,0.7961,2.3,95,212.19,0,0
C0656,22,8,160.13,0.8092,3.87,50,193.1,0,1
C0657,51,10,22.84,0.5826,2.49,0,58.27,0,1
C0658,19,4,107.92,0.9934,2.44,0,126.34,1,1
C0659,36,9,182.38,0.1792,1.4,0,185.9,0,0
C0660,24,4,156.86,0.0723,0.99,50,190.49,1,0
C0661,17,3,34.03,0.7042,1.02,95,114.72,1,1
C0662,53,9,104.64,0.2939,3.79,0,123.71,0,1
C0663,12,5,231.67,0.6082,3.03,0,225.34,1,1
C0664,6,6,197.06,0.3917,0.83,50,222.65,1,0
C0665,21,4,247.44,0.3335,3.28,50,262.95,1,0
C0666,43,4,71.15,0.8932,2.6,50,121.92,1,0
C0667,49,4,252.47,0.142,0.04,0,241.98,0,1
C0668,60,5,146.45,0.189,1.15,0,157.16,1,0
C0669,18,6,277.38,0.6678,1.72,0,261.9,0,0
C0670,25,6,150.26,0.7826,1.33,0,160.21,1,0
C0671,9,5,13.8,0.8322,9.53,50,76.04,0,0
C0672,35,7,217.94,0.2311,1.25,0,214.35,0,1
C0673,60,15,114.52,0.8821,2.66,0,131.62,0,1
C0674,42,2,119.9,0.6096,3.67,95,183.42,0,0
C0675,36,9,33.75,0.8232,6.32,50,92.0,0,1
C0676,24,3,279.78,0.0685,1.89,0,263.82,0,0
C0677,55,4,108.31,0.3569,0.16,95,174.15,1,1
C0678,30,3,276.0,0.5249,1.88,0,260.8,1,0
C0679,9,5,115.5,0.577,5.37,50,157.4,0,0
C0680,23,6,75.78,0.0991,0.18,0,100.62,1,0
C0681,5,4,255.56,0.5387,4.27,95,291.95,1,1
C0682,13,6,144.13,0.6655,2.04,0,155.3,0,0
C0683,2,5,144.91,0.3616,2.61,0,155.93,1,1
C0684,28,5,47.47,0.5007,0.3,95,125.48,0,1
C0685,38,6,113.39,0.2926,1.02,50,155.71,1,0
C0686,21,8,184.3,0.8705,0.66,0,187.44,1,1
C0687,26,8,46.07,0.5992,0.71,0,76.86,0,0
C0688,58,6,106.87,0.5513,5.81,0,125.5,1,0
C0689,45,10,116.36,0.9444,1.34,0,133.09,0,1
C0690,33,5,155.32,0.6649,4.61,50,189.26,1,0
C0691,18,5,268.36,0.2798,9.04,0,254.69,0,0
C0692,54,5,126.0,0.6418,1.1,95,188.3,1,1
C0693,15,6,94.76,0.9616,1.98,50,140.81,1,0
C0694,20,8,369.71,0.0236,7.91,95,383.27,0,0
C0695,55,3,115.35,0.6266,6.13,50,157.28,1,0
C0696,32,8,134.75,0.1568,1.64,0,147.8,0,0
C0697,45,5,121.37,0.8165,2.27,50,162.1,1,0
C0698,36,1,127.86,0.6407,6.17,0,142.29,1,0
C0699,40,5,156.22,0.937,3.53,0,164.98,0,1
C0700,19,7,223.66,0.6696,0.27,95,266.43,0,0
C0701,15,5,182.32,0.0172,11.88,50,210.86,0,0
C0702,20,10,236.17,0.5104,1.52,0,228.94,1,1
C0703,10,7,233.52,0.9037,0.76,0,226.82,1,1
C0704,53,10,166.68,0.2323,5.36,0,173.34,0,1
C0705,18,6,180.1,0.0829,3.28,50,209.08,0,0
C0706,34,9,238.7,0.7199,3.5,0,230.96,1,1
C0707,48,4,61.1,0.5025,3.17,95,136.38,0,1
C0708,47,6,349.86,0.0476,0.42,50,344.89,0,1
C0709,27,5,108.99,0.2799,0.73,0,127.19,1,0
C0710,29,6,121.92,0.3267,6.86,50,162.54,0,0
C0711,60,9,53.05,0.6679,10.4,95,129.94,1,1
C0712,41,7,55.43,0.4716,0.31,95,131.84,0,0
C0713,49,4,227.92,0.4872,3.6,0,222.34,1,1
C0714,54,5,331.62,0.8066,2.62,0,305.3,0,1
C0715,47,6,104.62,0.2784,0.27,50,148.7,0,0
C0716,12,3,177.79,0.6726,3.6,95,229.73,0,0
C0717,34,3,167.61,0.3676,2.5,95,221.59,1,0
C0718,7,10,230.02,0.4184,1.33,0,224.02,1,1
C0719,40,2,327.5,0.5559,4.74,50,327.0,0,1
C0720,57,2,271.68,0.6956,8.49,0,257.34,1,0
C0721,31,11,130.91,0.9452,6.31,0,144.73,0,1
C0722,27,12,192.3,0.269,12.41,0,193.84,0,0
C0723,3,5,200.24,0.1037,0.85,0,200.19,0,0
C0724,58,9,148.39,0.4288,3.12,50,183.71,1,1
C0725,7,11,62.33,0.5467,2.0,0,89.86,0,0
C0726,3,7,86.1,0.228,2.29,50,133.88,0,0
C0727,16,5,241.85,0.8905,0.21,50,258.48,1,1
C0728,5,7,250.1,0.7988,1.63,0,240.08,1,1
C0729,28,4,133.39,0.4937,2.03,50,171.71,0,0
C0730,31,9,170.88,0.4501,1.86,0,176.7,1,1
C0731,19,1,245.78,0.0407,1.61,0,236.62,0,0
C0732,4,9,13.66,0.5369,1.4,95,98.43,0,0
C0733,8,8,114.29,0.5957,1.23,0,131.43,0,1
C0734,24,3,311.43,0.8916,1.14,0,289.14,1,1
C0735,5,4,173.94,0.5011,7.06,50,204.15,1,0
C0736,42,5,59.66,0.1574,4.96,0,87.73,0,0
C0737,13,6,159.38,0.1801,2.47,0,167.5,0,0
C0738,19,3,231.71,0.1599,1.72,50,250.37,0,0
C0739,24,7,53.72,0.9385,3.29,50,107.98,1,0
C0740,26,8,164.1,0.7934,4.42,50,196.28,1,0
C0741,1,5,120.21,0.8248,0.25,95,183.67,1,1
C0742,8,3,18.64,0.8404,0.92,0,54.91,1,0
C0743,52,6,156.55,0.0956,5.27,0,165.24,1,0
C0744,1,7,139.08,0.7022,2.74,0,151.26,1,0
C0745,31,10,148.07,0.7043,1.3,0,158.46,1,0
C0746,30,7,122.14,0.2248,6.27,95,185.21,0,0
C0747,21,3,68.29,0.4907,1.13,50,119.63,1,1
C0748,26,4,33.62,0.6624,0.03,0,66.9,0,0
C0749,47,4,94.74,0.8973,0.85,0,115.79,0,0
C0750,51,10,218.74,0.1104,6.64,0,214.99,0,0
C0751,16,3,168.65,0.8922,1.1,50,199.92,0,0
C0752,20,7,144.47,0.9224,2.2,0,155.58,1,1
C0753,15,5,66.82,0.9236,1.22,95,140.96,0,1
C0754,29,6,120.09,0.0048,3.56,0,136.07,0,0
C0755,41,13,208.97,0.221,2.8,0,207.18,1,1
C0756,14,9,190.38,0.6912,0.48,95,239.8,1,1
C0757,21,5,111.82,0.3217,0.33,95,176.96,0,0
C0758,56,7,58.91,0.0611,2.65,0,87.13,0,1
C0759,4,3,96.01,0.7629,0.18,0,116.81,0,0
C0760,28,8,111.38,0.0286,6.84,95,176.6,1,0
C0761,43,5,77.43,0.446,2.98,50,126.94,0,0
C0762,10,5,116.95,0.9476,16.02,50,158.56,1,0
C0763,4,9,215.32,0.4402,6.5,50,237.26,0,0
C0764,9,4,147.02,0.9119,3.37,95,205.12,1,1
C0765,55,2,229.18,0.409,2.7,50,248.34,0,1
C0766,2,5,29.33,0.3467,9.3,0,63.46,0,0
C0767,12,9,125.59,0.1074,2.38,0,140.47,0,0
C0768,3,11,5.12,0.3581,4.94,50,69.1,0,0
C0769,8,4,115.87,0.337,1.76,0,132.7,1,0
C0770,38,5,66.35,0.8466,2.9,0,93.08,1,1
C0771,15,6,252.5,0.9199,4.36,50,267.0,0,1
C0772,35,8,182.78,0.0219,4.22,0,186.22,1,0
C0773,36,5,231.19,0.0983,4.08,95,272.45,0,1
C0774,51,5,115.65,0.6432,1.57,0,132.52,1,1
C0775,1,10,68.42,0.4847,2.69,50,119.74,0,0
C0776,51,4,65.87,0.2969,2.57,50,117.7,0,1
C0777,38,5,171.24,0.2599,0.84,0,176.99,0,1
C0778,11,5,294.81,0.2247,9.65,0,275.85,0,0
C0779,47,8,182.99,0.5255,0.36,0,186.39,1,1
C0780,51,9,120.02,0.0175,2.36,50,161.02,0,1
C0781,16,4,134.9,0.7389,5.2,50,172.92,0,0
C0782,55,4,147.5,0.3004,0.17,0,158.0,1,1
C0783,28,6,312.13,0.4268,0.53,0,289.7,0,1
C0784,37,7,248.69,0.5271,5.27,95,286.45,0,1
C0785,59,9,170.8,0.2114,2.07,0,176.64,1,1
C0786,22,5,158.78,0.8837,2.52,95,214.52,0,0
C0787,49,5,173.95,0.6821,3.44,0,179.16,1,0
C0788,20,2,189.54,0.8703,0.28,0,191.63,1,0
C0789,48,2,116.94,0.4755,4.95,50,158.55,0,0
C0790,36,9,82.47,0.4325,0.77,0,105.98,0,1
C0791,14,4,232.58,0.2371,3.71,95,273.56,0,0
C0792,25,7,151.76,0.5448,4.24,50,186.41,1,0
C0793,20,4,225.9,0.5932,7.21,50,245.72,1,0
C0794,6,6,281.69,0.4199,0.43,50,290.35,1,1
C0795,3,5,191.65,0.1454,0.48,50,218.32,0,0
C0796,21,6,178.68,0.2731,4.65,50,207.94,1,0
C0797,2,4,406.02,0.0143,2.47,50,389.82,0,1
C0798,11,6,166.56,0.3191,0.37,95,220.75,1,1
C0799,44,8,62.76,0.5808,1.25,50,115.21,0,1
C0800,43,3,127.5,0.9557,8.71,0,142.0,1,0
C0801,45,6,274.13,0.1779,2.27,0,259.3,0,1
C0802,20,9,46.47,0.0555,7.07,0,77.18,0,0
C0803,54,3,89.8,0.2963,4.01,0,111.84,0,1
C0804,36,5,238.51,0.1568,5.15,0,230.81,1,0
C0805,8,5,128.27,0.6955,0.96,0,142.62,1,0
C0806,9,10,141.18,0.0057,2.32,0,152.94,1,0
C0807,42,7,235.87,0.9809,2.42,95,276.2,0,1
C0808,11,1,92.65,0.8557,4.29,50,139.12,1,1
C0809,31,4,32.51,0.4907,2.27,0,66.01,0,0
C0810,60,5,38.89,0.9209,3.7,95,118.61,1,0
C0811,1,5,196.54,0.6281,6.57,95,244.73,0,0
C0812,2,7,170.73,0.9938,1.36,95,224.08,1,0
C0813,60,3,94.59,0.2783,1.31,0,115.67,1,1
C0814,35,7,57.3,0.9969,1.11,0,85.84,0,1
C0815,8,8,128.35,0.1802,1.08,0,142.68,1,0
C0816,54,7,239.32,0.3534,1.37,50,256.46,0,1
C0817,53,3,83.13,0.9353,0.51,50,131.5,0,1
C0818,33,6,96.99,0.3705,0.89,50,142.59,0,0
C0819,38,10,54.76,0.2098,0.46,50,108.81,0,1
C0820,17,10,120.61,0.0595,3.61,95,183.99,0,0
C0821,4,10,177.05,0.149,6.83,50,206.64,1,0
C0822,36,5,319.21,0.3552,2.6,95,342.87,1,1
C0823,18,3,167.42,0.4212,7.17,95,221.44,0,0
C0824,40,6,145.71,0.5425,2.26,0,156.57,1,1
C0825,50,6,219.03,0.8136,0.16,95,262.72,1,1
C0826,2,5,205.7,0.0134,1.12,0,204.56,0,0
C0827,36,5,103.79,0.8411,1.6,0,123.03,0,1
C0828,15,9,334.16,0.5772,1.76,95,354.83,1,1
C0829,53,9,148.05,0.7565,3.98,0,158.44,0,1
C0830,16,9,168.91,0.757,1.99,0,175.13,0,1
C0831,37,5,194.11,0.9032,3.49,95,242.79,1,1
C0832,34,5,177.67,0.0934,1.56,0,182.14,1,1
C0833,24,6,272.03,0.5715,1.33,0,257.62,1,1
C0834,41,6,102.81,0.909,7.34,0,122.25,1,0
C0835,44,4,212.67,0.7192,9.03,50,235.14,0,1
C0836,34,6,163.17,0.0966,2.1,0,170.54,1,0
C0837,46,6,228.62,0.614,5.2,0,222.9,1,0
C0838,59,7,132.8,0.7999,3.03,95,193.74,0,1
C0839,26,8,121.97,0.2749,4.06,0,137.58,0,1
C0840,31,9,208.57,0.6325,0.04,50,231.86,0,1
C0841,2,3,178.64,0.8404,0.48,0,182.91,1,0
C0842,48,4,84.38,0.5239,0.24,50,132.5,1,1
C0843,32,5,257.65,0.1942,0.51,50,271.12,1,0
C0844,25,6,208.6,0.5497,1.9,0,206.88,0,0
C0845,7,9,144.06,0.588,4.54,0,155.25,1,1
C0846,53,7,112.54,0.4029,0.15,0,130.03,0,1
C0847,24,6,179.13,0.6796,0.76,0,183.3,1,1
C0848,41,5,202.84,0.4333,1.07,0,202.27,1,1
C0849,10,5,22.47,0.8774,3.76,0,57.98,1,0
C0850,58,9,180.05,0.7916,0.23,0,184.04,0,1
C0851,12,6,202.2,0.8048,0.06,0,201.76,0,1
C0852,13,8,38.2,0.5261,2.03,0,70.56,0,0
C0853,52,3,165.7,0.1963,4.14,95,220.06,1,0
C0854,55,8,205.57,0.7244,0.87,0,204.46,0,1
C0855,14,6,196.47,0.0689,2.11,50,222.18,1,0
C0856,29,4,214.2,0.5176,1.35,50,236.36,0,1
C0857,44,4,123.79,0.053,4.48,0,139.03,1,0
C0858,53,3,66.81,0.5284,2.04,0,93.45,0,1
C0859,23,6,6.02,0.6859,9.3,0,44.82,0,0
C0860,32,4,237.38,0.4192,4.79,50,254.9,1,0
C0861,45,6,206.25,0.4169,5.85,0,205.0,0,1
C0862,44,6,243.48,0.1228,0.39,0,234.78,0,0
C0863,47,9,91.99,0.3018,1.61,95,161.09,1,1
C0864,35,9,214.31,0.4443,3.07,50,236.45,0,0
C0865,7,6,29.79,0.8636,9.65,0,63.83,1,0
C0866,54,4,80.44,0.898,0.15,95,151.85,1,1
C0867,52,4,160.08,0.9536,1.32,0,168.06,0,1
C0868,48,6,203.06,0.1003,1.96,0,202.45,0,0
C0869,7,7,284.32,0.2962,0.79,0,267.46,0,1
C0870,13,6,130.79,0.4629,0.84,95,192.13,0,0
C0871,45,7,80.74,0.6417,0.97,0,104.59,0,1
C0872,2,3,76.63,0.7028,6.12,50,126.3,1,0
C0873,59,7,94.97,0.786,0.61,50,140.98,0,1
C0874,23,13,327.68,0.4959,0.36,50,327.14,1,1
C0875,43,6,210.55,0.5566,0.07,0,208.44,1,1
C0876,53,4,239.0,0.9606,8.05,0,231.2,0,1
C0877,24,7,130.88,0.24,0.65,50,169.7,1,1
C0878,20,6,149.87,0.8038,2.08,0,159.9,0,1
C0879,37,9,205.94,0.7118,4.14,50,229.75,0,0
C0880,35,2,109.54,0.1401,2.66,0,127.63,1,0
C0881,25,5,126.7,0.9265,1.14,50,166.36,0,0
C0882,37,10,96.02,0.8554,0.06,50,141.82,0,1
C0883,56,11,114.2,0.7795,0.95,50,156.36,1,1
C0884,29,4,153.92,0.1268,8.54,0,163.14,1,0
C0885,13,7,84.26,0.1397,0.14,0,107.41,1,0
C0886,23,5,172.88,0.6832,2.97,0,178.3,1,1
C0887,24,6,172.77,0.1073,1.98,0,178.22,1,0
C0888,9,4,135.66,0.1133,0.16,50,173.53,1,0
C0889,11,6,83.8,0.4003,2.06,0,107.04,0,0
C0890,41,5,158.4,0.0054,1.82,0,166.72,1,0
C0891,21,6,109.61,0.7215,0.6,0,127.69,1,1
C0892,57,8,153.73,0.5402,0.44,0,162.98,0,1
C0893,15,11,237.85,0.0782,0.02,50,255.28,0,1
C0894,7,4,49.76,0.5436,8.49,50,104.81,0,0
C0895,45,5,323.88,0.0541,1.28,0,299.1,0,0
C0896,53,5,144.2,0.0707,7.0,0,155.36,0,0
C0897,17,8,182.95,0.4855,2.66,50,211.36,0,1
C0898,13,6,89.78,0.4998,3.98,50,136.82,1,0
